COD_CNAE;DISC_CNAE;CLA_RISCO
1622699;Fabricação de outros artigos de carpintaria para construção;Baixo Risco
1623400;Fabricação de artefatos de tanoaria e de embalagens de madeira;Baixo Risco
1629301;Fabricação de artefatos diversos de madeira, exceto móveis;Baixo Risco
1710900;Fabricação de celulose e outras pastas para a fabricação de papel;Baixo Risco
1721400;Fabricação de papel;Baixo Risco
1722200;Fabricação de cartolina e papel-cartão;Baixo Risco
1741901;Fabricação de formulários contínuos;Baixo Risco
1811301;Impressão de jornais;Baixo Risco
1811302;Impressão de livros, revistas e outras publicações periódicas;Baixo Risco
1812100;Impressão de material de segurança;Baixo Risco
1813001;Impressão de material para uso publicitário;Baixo Risco
1813099;Impressão de material para outros usos;Baixo Risco
1821100;Serviços de pré-impressão;Baixo Risco
1830001;Reprodução de som em qualquer suporte;Baixo Risco
1830002;Reprodução de vídeo em qualquer suporte;Baixo Risco
1830003;Reprodução de software em qualquer suporte;Baixo Risco
1910100;Coquerias;Baixo Risco
1921700;Fabricação de produtos do refino de petróleo;Baixo Risco
1922501;Formulação de combustíveis;Baixo Risco
1922502;Rerrefino de óleos lubrificantes;Baixo Risco
1922599;Fabricação de outros produtos derivados do petróleo, exceto produtos do refino;Baixo Risco
1931400;Fabricação de álcool;Baixo Risco
1932200;Fabricação de biocombustíveis, exceto álcool;Baixo Risco
2011800;Fabricação de cloro e álcalis;Baixo Risco
2012600;Fabricação de intermediários para fertilizantes;Baixo Risco
2013401;Fabricação de adubos e fertilizantes organo-minerais;Baixo Risco
2013402;Fabricação de adubos e fertilizantes, exceto organo-minerais;Baixo Risco
2019301;Elaboração de combustíveis nucleares;Baixo Risco
2021500;Fabricação de produtos petroquímicos básicos;Baixo Risco
2022300;Fabricação de intermediários para plastificantes, resinas e fibras;Baixo Risco
2031200;Fabricação de resinas termoplásticas;Baixo Risco
2032100;Fabricação de resinas termofixas;Baixo Risco
2033900;Fabricação de elastômeros;Baixo Risco
2040100;Fabricação de fibras artificiais e sintéticas;Baixo Risco
2051700;Fabricação de defensivos agrícolas;Baixo Risco
2072000;Fabricação de tintas de impressão;Baixo Risco
2073800;Fabricação de impermeabilizantes, solventes e produtos afins;Baixo Risco
2092401;Fabricação de pólvoras, explosivos e detonantes;Baixo Risco
2092402;Fabricação de artigos pirotécnicos;Baixo Risco
2092403;Fabricação de fósforos de segurança;Baixo Risco
2094100;Fabricação de catalisadores;Baixo Risco
